,,,,,,,,
,,,,,,,,
,S. No.,Name of the unit,type,Address,Industrial estate,Locality,City,State
,1,Anantha Lead (Aishwarya Metal Refineries),Lead waste,148-150,IDA-Medchal,,Rangareddy,Andhra Pradesh
,2,NILE Ltd,Lead waste,Panthangi Village,,Choutuppal Mandal,Nalgonda,Andra Pradesh
,3,S. K. Metal Industries,Lead waste,"S.No. 206, ",Plot No. 1. ,Veraval,Rajkot,Gujarat
,4,Om Enterprises,Lead waste,"B-9, ","Prem Colony, ",Kundli,Sonepat,Haryana
,5,Ananda Metal Corporation,Lead waste," C-81, ","Peenya Industrial Estate, ",Peenya 3rd Stage,Bangalore,Karnataka
,6,Eswari Metal Industries,Lead waste,Flat No. 101,"Bikampadi Industrial Area, ",Bikampadi,Mangalore,Karnataka
,7,Hemalata Metal Mart,Lead waste," 65-B, ",Penya Industrial Estate,Peenya 3rd Stage,Bangalore,Karnataka
,8,Sri Saraswati Metal Industries,Lead waste,Shed B-40,"Veerasandra, Industrial Estate",Anekal,Bangalore,karnataka
,9,Ganpati Metals,Lead waste," Survey No. 308, ",Gram Manglia,A.B. Road,Indore,Madhya Pradesh
,10,M.S. Metals,Lead waste,Plot No. 300,"Sector-F, Industrial Estate, ",Sanwar Road,Indore,Madhya Pradesh
,11,Manoj Industries,Lead waste,Plot No. 15-16 D,"Sector-C, Industrial Estate, ",Sanwar Road,Indore,Madhya Pradesh
,12,Power Pack Industries,Lead waste,"32/D, Light Industrial Area",,,Bhilai,Madhya Pradesh
,13,Hans Enterprises,Lead waste,"1, Meera, ","Golani Complex, Opp Syndicate Bank,Vasai"," Off Vasai Vajreshwari Road, Waliv, ",Thane,Maharashtra
,14,Indian Lead Limited,Lead waste," L.B.S. Marg,",, Majiwada,Thane,Maharashtra
,15,"Maharashtra Lead Pvt. Ltd.Dist. Pune, Maharashtra.",Lead waste,"Gat No. 517/518, ","Aalandi Markal Road, ","Village Solu, Taluka Khed",Pune,Maharashtra
,16,N. V. Metals & Alloys,Lead waste,,"270/72, Annapurna Niwas, ",Jagannath Shankar Seth Road,Mumbai,Maharashtra
,,,,,,,,